Task 1,Task 2 Vin,Task 2 Vout,Task 2 Out,Task 3 Vin,Task 3 Vout,Task 3 Out
0.85938,0.76888,-0.05099,-0.14687,0.30526,1.11159,1.10553
1.88743,0.76888,-0.06314,-0.14687,0.30526,-0.05463,-0.05168
-3.50981,0.76888,0.16177,0.06985,0.30526,1.26963,1.26235
1.63041,0.76888,-0.05706,-0.14687,0.30526,0.29959,0.29981
0.34536,0.76888,-0.05099,-0.14687,0.30526,-1.2917,-1.27918
1.2449,0.76888,-0.1908,-0.27071,0.30526,-1.41159,-1.39815
0.21685,0.76888,0.07059,-0.02303,0.75961,-0.36526,-0.35574
-0.42567,0.76888,0.0098,-0.08495,0.87319,-1.73857,-1.70404
0.73088,0.76888,-0.05706,-0.14687,0.87319,-0.05463,-0.0495
0.34536,0.76888,-0.12393,-0.20879,0.87319,0.35954,0.35744
-0.55418,0.76888,-0.03275,-0.11591,0.87319,0.62657,0.61981
-1.45372,0.76888,0.10098,0.00793,0.87319,0.34864,0.34673
-0.9397,0.76888,0.0402,-0.05399,0.64602,-0.81758,-0.80295
-0.68269,0.76888,-0.17864,-0.27071,0.87319,-0.99742,-0.97583
-0.04016,0.76888,-0.1057,-0.20879,0.87319,2.05983,2.02804
-0.68269,0.76888,0.0402,-0.05399,0.87319,-0.13638,-0.12982
-1.32521,-2.16655,-0.24551,0.00793,N/A,N/A,N/A
1.2449,-1.89969,-0.39748,-0.17783,N/A,N/A,N/A
1.3734,-2.70026,-0.44003,-0.14687,N/A,N/A,N/A
-0.29717,-2.16655,-0.17864,0.06985,N/A,N/A,N/A
-1.0682,-2.16655,-0.11785,0.13177,N/A,N/A,N/A
-0.04016,-2.16655,-0.33669,-0.08495,N/A,N/A,N/A
0.85938,-2.16655,-0.26375,-0.02303,N/A,N/A,N/A
0.85938,-2.16655,-0.33669,-0.08495,N/A,N/A,N/A
-1.96774,-2.16655,-0.24551,0.00793,N/A,N/A,N/A
1.11639,-2.43341,-0.31845,-0.05399,N/A,N/A,N/A
0.98789,-2.16655,-0.44003,-0.20879,N/A,N/A,N/A
0.34536,-2.16655,-0.33669,-0.08495,N/A,N/A,N/A
-0.16866,-2.16655,-0.35493,-0.11591,N/A,N/A,N/A
0.60237,-2.16655,-0.33669,-0.08495,N/A,N/A,N/A
-0.55418,-1.89969,-0.33061,-0.11591,N/A,N/A,N/A
0.47386,-2.16655,-0.17256,0.06985,N/A,N/A,N/A
-1.45372,-2.43341,-0.08138,0.19369,N/A,N/A,N/A
-1.71073,-2.16655,-0.26982,-0.02303,N/A,N/A,N/A
-0.29717,-2.16655,-0.36709,-0.11591,N/A,N/A,N/A
-0.68269,-2.16655,-0.37316,-0.11591,N/A,N/A,N/A
-0.04016,0.23517,-0.06314,-0.08495,N/A,N/A,N/A
-2.09625,0.23517,-0.37924,-0.39455,N/A,N/A,N/A
-0.68269,-0.29855,-0.09354,-0.05399,N/A,N/A,N/A
-0.42567,0.23517,0.02196,0.00793,N/A,N/A,N/A
-0.81119,0.23517,-0.17256,-0.20879,N/A,N/A,N/A
-0.81119,0.23517,-0.17864,-0.20879,N/A,N/A,N/A
2.65846,0.23517,0.25296,0.22465,N/A,N/A,N/A
-0.81119,0.23517,-0.17256,-0.20879,N/A,N/A,N/A
-0.55418,0.50203,-0.05706,-0.11591,N/A,N/A,N/A
-1.96774,0.23517,-0.09962,-0.11591,N/A,N/A,N/A
-1.45372,0.23517,-0.03883,-0.05399,N/A,N/A,N/A
-1.0682,0.50203,0.07059,0.00793,N/A,N/A,N/A
-0.9397,0.23517,-0.01451,-0.05399,N/A,N/A,N/A
0.08835,0.23517,-0.1057,-0.14687,N/A,N/A,N/A
-1.19671,0.23517,-0.06922,-0.08495,N/A,N/A,N/A
-0.68269,0.23517,-0.11785,-0.14687,N/A,N/A,N/A
-0.42567,0.23517,-0.01451,-0.05399,N/A,N/A,N/A
-0.55418,0.23517,0.00372,-0.02303,N/A,N/A,N/A
0.47386,0.23517,0.04628,0.00793,N/A,N/A,N/A
1.88743,0.23517,-0.13001,-0.14687,N/A,N/A,N/A
-1.0682,-0.03169,0.00372,0.00793,N/A,N/A,N/A
1.11639,-0.03169,-0.13001,-0.11591,N/A,N/A,N/A
-0.16866,-0.03169,-0.02667,-0.02303,N/A,N/A,N/A
0.73088,-0.03169,-0.19688,-0.20879,N/A,N/A,N/A
-0.04016,-0.03169,-0.01451,-0.02303,N/A,N/A,N/A
-0.55418,-0.03169,-0.08138,-0.08495,N/A,N/A,N/A
0.85938,-0.03169,-0.08138,-0.08495,N/A,N/A,N/A
-0.04016,-0.03169,0.09491,0.10081,N/A,N/A,N/A
0.08835,-0.03169,0.0098,0.00793,N/A,N/A,N/A
-0.04016,-0.03169,-0.09354,-0.08495,N/A,N/A,N/A
0.34536,-0.03169,-0.1057,-0.11591,N/A,N/A,N/A
-0.16866,-0.03169,-0.08746,-0.08495,N/A,N/A,N/A
0.34536,-0.29855,-0.04491,-0.02303,N/A,N/A,N/A
0.21685,-0.03169,-0.09354,-0.08495,N/A,N/A,N/A
0.60237,-0.29855,-0.05706,-0.02303,N/A,N/A,N/A
-1.58223,-0.03169,-0.08138,-0.08495,N/A,N/A,N/A
0.73088,-0.03169,-0.22727,-0.23975,N/A,N/A,N/A
-0.9397,-0.03169,-0.05706,-0.05399,N/A,N/A,N/A
0.60237,-0.29855,-0.15433,-0.11591,N/A,N/A,N/A
-0.42567,-0.03169,0.03412,0.03889,N/A,N/A,N/A
0.34536,1.03574,0.13138,0.00793,N/A,N/A,N/A
-0.68269,1.3026,0.19217,0.03889,N/A,N/A,N/A
-0.42567,1.3026,-0.46435,-0.61127,N/A,N/A,N/A
-0.42567,1.3026,-0.13001,-0.27071,N/A,N/A,N/A
-0.16866,1.3026,-0.06314,-0.20879,N/A,N/A,N/A
-0.42567,1.3026,0.02196,-0.11591,N/A,N/A,N/A
-0.04016,1.3026,-0.02667,-0.17783,N/A,N/A,N/A
0.21685,1.3026,0.1253,-0.02303,N/A,N/A,N/A
0.21685,1.3026,0.15569,0.00793,N/A,N/A,N/A
-1.45372,1.3026,0.13746,-0.02303,N/A,N/A,N/A
2.40145,0.76888,0.05235,-0.02303,N/A,N/A,N/A
-0.29717,1.3026,0.05843,-0.08495,N/A,N/A,N/A
0.21685,1.3026,0.18001,0.03889,N/A,N/A,N/A
0.21685,1.03574,0.15569,0.03889,N/A,N/A,N/A
0.08835,1.3026,0.07059,-0.08495,N/A,N/A,N/A
-0.42567,1.3026,0.09491,-0.05399,N/A,N/A,N/A
-1.45372,1.3026,-0.17864,-0.33263,N/A,N/A,N/A
-1.32521,1.3026,0.05235,-0.08495,N/A,N/A,N/A
2.14444,1.3026,0.07667,-0.08495,N/A,N/A,N/A
-0.55418,1.3026,0.13746,-0.02303,N/A,N/A,N/A
